#{"t_start": 1753632185.7505076, "env_id": "None"}
r,l,t
54.0,8,15.346358
50.0,1,15.350328
29.0,29,15.373201
57.0,13,15.387218
60.0,16,15.402391
65.0,5,15.41236
55.0,7,15.419869
60.0,13,15.431937
71.0,7,15.439278
57.0,5,15.447133
59.0,3,15.449867
61.0,9,15.458089
55.0,15,15.471058
57.0,2,15.47525
56.0,6,15.482499
71.0,10,15.490865
66.0,4,15.494858
62.0,17,15.512589
50.0,12,15.524532
59.0,3,15.528135
66.0,4,15.532301
74.0,7,15.543539
50.0,1,15.54411
71.0,4,15.547791
54.0,14,15.562793
69.0,9,15.574212
59.0,3,15.576507
70.0,11,15.583325
57.0,5,15.591139
63.0,7,15.598773
65.0,8,15.607014
62.0,6,15.613775
58.0,4,15.618086
57.0,2,15.623585
57.0,8,15.629393
69.0,7,15.635353
63.0,10,15.645322
62.0,11,15.6576
70.0,8,15.664096
57.0,2,15.666924
50.0,1,15.667384
50.0,15,15.68607
51.0,23,15.707802
56.0,9,15.715367
58.0,10,15.723265
66.0,4,15.7303
65.0,5,15.737382
31.0,28,15.761616
46.0,16,15.774208
59.0,3,15.779054
53.0,9,15.790557
54.0,11,15.798828
69.0,9,15.808851
56.0,9,15.820891
61.0,4,15.824197
63.0,10,15.832253
49.0,16,15.845276
54.0,8,15.857132
66.0,4,15.860555
70.0,9,15.871108
55.0,7,15.875216
62.0,8,15.885744
28.0,28,15.909266
57.0,5,15.914933
59.0,3,15.916656
69.0,7,15.931239
66.0,15,15.944491
69.0,10,15.951129
50.0,1,15.954398
60.0,10,15.964435
57.0,2,15.967219
56.0,6,15.971888
59.0,3,15.975823
60.0,5,15.983809
50.0,1,15.984362
57.0,5,15.991158
65.0,13,16.000005
57.0,5,16.010251
52.0,10,16.020806
59.0,3,16.022496
61.0,4,16.025861
58.0,4,16.034507
61.0,12,16.044489
58.0,4,16.0481
57.0,5,16.055263
59.0,3,16.059798
78.0,8,16.065603
50.0,1,16.069699
58.0,4,16.074201
59.0,6,16.083562
57.0,2,16.087122
49.0,16,16.101186
51.0,11,16.109187
68.0,8,16.120764
59.0,3,16.124479
71.0,8,16.13206
69.0,10,16.142437
54.0,8,16.153786
39.0,23,16.171657
55.0,7,16.178347
56.0,6,16.187321
56.0,17,16.207144
65.0,16,16.222381
48.0,17,16.234323
56.0,6,16.240191
50.0,1,16.24521
58.0,10,16.25323
61.0,7,16.259637
57.0,5,16.264305
65.0,8,16.275425
65.0,18,16.291325
54.0,8,16.299439
54.0,8,16.306977
50.0,1,16.310833
67.0,9,16.317806
57.0,2,16.320985
50.0,1,16.321573
81.0,14,16.338905
59.0,3,16.339556
54.0,8,16.346513
50.0,1,16.349173
57.0,2,16.354302
46.0,25,16.373658
64.0,12,16.385703
55.0,7,16.391963
56.0,6,16.404882
50.0,1,16.405631
55.0,13,16.42072
55.0,7,16.427803
50.0,1,16.432653
58.0,7,16.439212
57.0,2,16.440097
61.0,12,16.452444
67.0,11,16.467413
59.0,14,16.480926
60.0,5,16.484741
45.0,17,16.498505
57.0,8,16.507773
